date,product,SKU,category,price,quantity,competitor_price,discount,black_friday_date
2022-01-01,Product_47,SKU_37,Grocery,132.43295191902644,12,156.23576562131313,20,2023-11-24
2022-01-02,Product_47,SKU_36,Clothing,132.68282017770983,7,133.82170839635813,15,2023-11-24
2022-01-03,Product_4,SKU_36,Electronics,98.87970656332658,8,98.53318045968996,10,2023-11-24
2022-01-04,Product_7,SKU_4,Grocery,105.06016973355584,8,105.50342407721054,20,2023-11-24
2022-01-05,Product_45,SKU_36,Grocery,87.76796841594272,10,90.0164623029957,5,2023-11-24
2022-01-06,Product_35,SKU_18,Clothing,89.8556890478891,8,82.55595509712197,10,2023-11-24
2022-01-07,Product_48,SKU_50,Electronics,120.92514426874345,13,109.68181768314862,5,2023-11-24
2022-01-08,Product_9,SKU_16,Electronics,132.0442277746335,9,128.51313625029908,0,2023-11-24
2022-01-09,Product_8,SKU_41,Grocery,86.05432639060372,9,87.59034558925696,5,2023-11-24
2022-01-10,Product_45,SKU_18,Furniture,104.85912704262702,12,94.87502264226052,20,2023-11-24
2022-01-11,Product_17,SKU_22,Grocery,95.13843887841584,11,81.67235260952178,5,2023-11-24
2022-01-12,Product_17,SKU_2,Grocery,117.27743319104013,8,112.87323191529669,0,2023-11-24
2022-01-13,Product_49,SKU_21,Grocery,92.22967955287089,12,78.89556569150251,15,2023-11-24
2022-01-14,Product_33,SKU_36,Grocery,61.47090121080903,6,68.1888706626715,20,2023-11-24
2022-01-15,Product_32,SKU_44,Clothing,120.07381422224005,11,85.65802175038823,10,2023-11-24
2022-01-16,Product_8,SKU_39,Electronics,93.93032740286522,8,82.24898816094168,10,2023-11-24
2022-01-17,Product_19,SKU_47,Clothing,96.0111256822389,8,110.14642373319737,5,2023-11-24
2022-01-18,Product_38,SKU_39,Clothing,108.71175833383678,9,106.49457339571896,10,2023-11-24
2022-01-19,Product_3,SKU_29,Clothing,107.0566728630524,10,108.89596612576837,0,2023-11-24
2022-01-20,Product_5,SKU_26,Grocery,109.12243317504777,10,107.83323609498588,10,2023-11-24
2022-01-21,Product_13,SKU_21,Furniture,67.40533669507609,10,61.13215349054565,5,2023-11-24
2022-01-22,Product_47,SKU_17,Electronics,111.12618024072985,13,122.07811123658513,10,2023-11-24
2022-01-23,Product_46,SKU_16,Furniture,61.818872992977305,8,56.10025683704526,15,2023-11-24
2022-01-24,Product_31,SKU_31,Clothing,115.39130287562014,11,107.10648727775002,15,2023-11-24
2022-01-25,Product_16,SKU_9,Clothing,122.3676256422116,14,128.93524542593673,10,2023-11-24
2022-01-26,Product_50,SKU_31,Furniture,72.62959714549567,13,53.32307479815046,20,2023-11-24
2022-01-27,Product_32,SKU_14,Furniture,106.56865981163098,4,103.71442460207882,10,2023-11-24
2022-01-28,Product_22,SKU_49,Furniture,121.14358259228865,5,115.95401176585388,15,2023-11-24
2022-01-29,Product_29,SKU_37,Clothing,91.01992759256933,7,87.97838110135731,15,2023-11-24
2022-01-30,Product_22,SKU_2,Clothing,113.47272731417246,7,108.58888961861837,0,2023-11-24
2022-01-31,Product_43,SKU_48,Electronics,44.29188254548638,12,48.04275826282485,5,2023-11-24
2022-02-01,Product_3,SKU_46,Electronics,121.96392236486822,4,132.96078456526786,0,2023-11-24
2022-02-02,Product_10,SKU_14,Clothing,100.59988477386352,12,105.19325402172,20,2023-11-24
2022-02-03,Product_42,SKU_33,Furniture,94.84341246727935,7,91.47427628860251,5,2023-11-24
2022-02-04,Product_21,SKU_35,Furniture,119.6808290580896,9,125.99516331016153,10,2023-11-24
2022-02-05,Product_16,SKU_39,Electronics,134.58579351447955,13,142.0717064969852,10,2023-11-24
2022-02-06,Product_12,SKU_47,Clothing,109.71431682707994,12,113.3236040569814,20,2023-11-24
2022-02-07,Product_2,SKU_20,Electronics,132.1742776609779,16,142.6607766057133,15,2023-11-24
2022-02-08,Product_41,SKU_2,Electronics,68.9343349494604,9,45.46037848532656,10,2023-11-24
2022-02-09,Product_24,SKU_41,Grocery,113.31897675668131,7,113.5866207342037,0,2023-11-24
2022-02-10,Product_35,SKU_19,Grocery,97.35992294291455,12,100.43845737918159,15,2023-11-24
2022-02-11,Product_30,SKU_37,Grocery,84.23561790567365,5,69.423260789264,10,2023-11-24
2022-02-12,Product_30,SKU_18,Furniture,61.426371302743156,9,63.63408348696014,15,2023-11-24
2022-02-13,Product_47,SKU_16,Clothing,112.23574098005327,11,121.38524756544575,5,2023-11-24
2022-02-14,Product_35,SKU_4,Clothing,117.50580106833058,14,115.26705355651691,10,2023-11-24
2022-02-15,Product_19,SKU_12,Clothing,126.84045501986495,6,133.4058488412252,10,2023-11-24
2022-02-16,Product_50,SKU_29,Clothing,123.52980875270063,12,133.7573420394071,15,2023-11-24
2022-02-17,Product_8,SKU_7,Grocery,84.5658062588326,10,97.99044398045908,5,2023-11-24
2022-02-18,Product_26,SKU_14,Furniture,125.81411030624261,5,137.43564911479788,0,2023-11-24
2022-02-19,Product_49,SKU_12,Furniture,127.92695007823689,15,141.58301774074374,5,2023-11-24
2022-02-20,Product_40,SKU_35,Grocery,94.80032149494589,11,89.80484613945382,0,2023-11-24
2022-02-21,Product_7,SKU_5,Furniture,100.56856527423437,11,96.66724175311757,20,2023-11-24
2022-02-22,Product_30,SKU_17,Grocery,81.31691585900916,8,56.58245692232732,5,2023-11-24
2022-02-23,Product_7,SKU_42,Clothing,129.61772581306664,12,118.9660451557497,0,2023-11-24
2022-02-24,Product_3,SKU_32,Grocery,69.76425708062129,12,81.94874768181268,15,2023-11-24
2022-02-25,Product_1,SKU_10,Clothing,110.69941344727539,7,104.650848373994,0,2023-11-24
2022-02-26,Product_36,SKU_43,Clothing,88.06341623768574,13,92.03929996619773,20,2023-11-24
2022-02-27,Product_25,SKU_17,Electronics,77.84294360886977,8,80.25020970343758,0,2023-11-24
2022-02-28,Product_37,SKU_5,Grocery,62.50543438877184,4,74.91229604020526,5,2023-11-24
2022-03-01,Product_1,SKU_45,Electronics,95.69187744058014,15,75.48805473759766,0,2023-11-24
2022-03-02,Product_15,SKU_42,Grocery,74.7082977080419,7,78.2345986564693,5,2023-11-24
2022-03-03,Product_37,SKU_9,Grocery,101.12838906547609,7,104.49206299314467,20,2023-11-24
2022-03-04,Product_13,SKU_49,Electronics,135.3867464680125,7,126.80877174162246,0,2023-11-24
2022-03-05,Product_40,SKU_33,Electronics,103.99014652877777,8,113.5926143534319,0,2023-11-24
2022-03-06,Product_8,SKU_36,Grocery,139.94561004569297,9,125.95525707978739,20,2023-11-24
2022-03-07,Product_5,SKU_36,Furniture,80.35453493043693,7,90.99989340274085,0,2023-11-24
2022-03-08,Product_9,SKU_18,Clothing,74.38118400001305,11,52.82432640385924,5,2023-11-24
2022-03-09,Product_1,SKU_9,Electronics,79.45968823543444,9,70.41048566724962,10,2023-11-24
2022-03-10,Product_36,SKU_29,Clothing,98.69798922489392,10,97.29910979811402,10,2023-11-24
2022-03-11,Product_35,SKU_50,Furniture,154.45897375448607,8,156.63557169913196,5,2023-11-24
2022-03-12,Product_2,SKU_14,Furniture,66.75770572897119,9,48.07686824528201,0,2023-11-24
2022-03-13,Product_40,SKU_25,Furniture,112.3932623632485,11,122.82235631909741,5,2023-11-24
2022-03-14,Product_23,SKU_15,Electronics,86.00069327918933,12,93.53629352980666,20,2023-11-24
